Residuals	weight_grams_scaled	lipocalin2_pg_ml_scaled	number_of_pups_scaled	genotype
ASV3|Bacteroidota|Bacteroidales	0.829495822245805	0.133732075527234	0.0239008232932983	0.0128712789336628	0
ASV4|Firmicutes|Lactobacillales	0.775566665405709	0.0499454863415163	0.0954225743861901	0.079065273866585	0
ASV17|Firmicutes|Erysipelotrichales	0.979087467842745	0.010381384251492	0.00444526289576331	0.00608588500999928	0
ASV34|Firmicutes|Lachnospirales	0.862565656831582	0.135375289988535	0.00150225076872417	0.000556802411158752	0
ASV53|Firmicutes|Clostridia vadinBB60 group	0.883141473663106	0.00128634242794212	0.00234040522368927	0.0562628464736064	0.0569689322116565
ASV67|Firmicutes|Oscillospirales	0.821720887455487	0.143541347507937	0.0250760295247459	0.00966173551183004	0
ASV74|Cyanobacteria|Gastranaerophilales	0.821855538715827	0.173243279778585	0.00269796195898496	0.00220321954660268	0
ASV87|Proteobacteria|Burkholderiales	0.674564528203721	0.273679080992897	0.0511730716476633	0.000583319155718193	0
ASV137|Firmicutes|Clostridia UCG-014	0.544536079308695	0.294542342123551	0.109502026101817	0.00356329547057373	0.0478562569953636
ASV148|Firmicutes|Peptostreptococcales-Tissierellales	0.822522948705773	0.00035356590396782	0.0919694215293079	0.0223569902715626	0.0627970735893886
