2023-12-20 20:41:56.260382 INFO::Writing function arguments to log file
2023-12-20 20:41:56.2647 DEBUG::Function arguments
2023-12-20 20:41:56.268112 DEBUG::Output folder: outputs/differential_abundance_16S_ASVs/lmm_maaslin2/ASVs/complete_model
2023-12-20 20:41:56.268319 DEBUG::Min Abundance: 0.000000
2023-12-20 20:41:56.268473 DEBUG::Min Prevalence: 0.120000
2023-12-20 20:41:56.268611 DEBUG::Normalization: CLR
2023-12-20 20:41:56.268744 DEBUG::Transform: NONE
2023-12-20 20:41:56.268873 DEBUG::Analysis method: LM
2023-12-20 20:41:56.269003 DEBUG::Max significance: 0.050000
2023-12-20 20:41:56.269141 DEBUG::Random effects: mouse_id
2023-12-20 20:41:56.269275 DEBUG::Fixed effects: genotype,timepoint
2023-12-20 20:41:56.269408 DEBUG::Correction method: BH
2023-12-20 20:41:56.269642 DEBUG::Standardize: TRUE
2023-12-20 20:41:56.269814 DEBUG::Cores: 1
2023-12-20 20:41:57.302955 INFO::Fitting model to feature number 29, ASV29
2023-12-20 20:41:57.323869 INFO::Fitting model to feature number 30, ASV30
2023-12-20 20:41:57.343496 INFO::Fitting model to feature number 31, ASV31
2023-12-20 20:41:57.369053 INFO::Fitting model to feature number 32, ASV32
2023-12-20 20:41:57.38849 INFO::Fitting model to feature number 33, ASV33
2023-12-20 20:41:57.407823 INFO::Fitting model to feature number 34, ASV34
2023-12-20 20:41:57.427206 INFO::Fitting model to feature number 35, ASV35
2023-12-20 20:41:57.446622 INFO::Fitting model to feature number 36, ASV36
2023-12-20 20:41:57.466313 INFO::Fitting model to feature number 37, ASV37
2023-12-20 20:41:57.485931 INFO::Fitting model to feature number 38, ASV38
2023-12-20 20:41:57.511303 INFO::Fitting model to feature number 39, ASV39
2023-12-20 20:41:57.530261 INFO::Fitting model to feature number 40, ASV40
2023-12-20 20:41:57.549212 INFO::Fitting model to feature number 41, ASV41
2023-12-20 20:41:57.568308 INFO::Fitting model to feature number 42, ASV42
2023-12-20 20:41:57.587749 INFO::Fitting model to feature number 43, ASV43
2023-12-20 20:41:57.607644 INFO::Fitting model to feature number 44, ASV44
2023-12-20 20:41:57.626457 INFO::Fitting model to feature number 45, ASV45
2023-12-20 20:41:57.645664 INFO::Fitting model to feature number 46, ASV46
2023-12-20 20:41:57.671311 INFO::Fitting model to feature number 47, ASV47
2023-12-20 20:41:57.692 INFO::Fitting model to feature number 48, ASV48
2023-12-20 20:41:57.710902 INFO::Fitting model to feature number 49, ASV49
2023-12-20 20:41:57.729955 INFO::Fitting model to feature number 50, ASV50
2023-12-20 20:41:57.750663 INFO::Fitting model to feature number 51, ASV51
2023-12-20 20:41:57.770619 INFO::Fitting model to feature number 52, ASV52
2023-12-20 20:41:57.790122 INFO::Fitting model to feature number 53, ASV53
2023-12-20 20:41:57.815951 INFO::Fitting model to feature number 54, ASV54
2023-12-20 20:41:57.834727 INFO::Fitting model to feature number 55, ASV55
2023-12-20 20:41:57.85441 INFO::Fitting model to feature number 56, ASV56
2023-12-20 20:41:57.874523 INFO::Fitting model to feature number 57, ASV57
2023-12-20 20:41:57.893353 INFO::Fitting model to feature number 58, ASV58
2023-12-20 20:41:57.9128 INFO::Fitting model to feature number 59, ASV59
