feature	ASV1	ASV2	ASV3	ASV4	ASV10	ASV11	ASV13	ASV15	ASV17	ASV18	ASV27	ASV28	ASV33	ASV36	ASV53	ASV62	ASV63	ASV67	ASV68	ASV73	ASV74	ASV76	ASV81	ASV82	ASV86	ASV87	ASV88	ASV90	ASV93	ASV99	ASV100	ASV105	ASV107	ASV108	ASV117	ASV121	ASV126	ASV129	ASV137	ASV138	ASV139	ASV147	ASV148	ASV161	ASV169	ASV182	ASV188	ASV190	ASV205	ASV215	ASV226	ASV228	ASV233	ASV234	ASV238	ASV240	ASV245	ASV261	ASV262	ASV263	ASV275	ASV301	ASV348	ASV362	ASV365	ASV369	ASV399	ASV404	ASV412	ASV414	ASV419	ASV439	ASV449	ASV493	ASV498	ASV504	ASV530
Preg.Feces.PD.2106.week6.2	4.43178931467423	2.43889543562376	4.54477023437175	1.31966385975291	5.21434994552778	3.31138354483952	0.156513049947231	5.48560207516202	-1.45292486248687	3.41653081814661	-0.35431257381876	3.20578609042925	0.0511525342894049	4.65186836992812	3.64082533831989	2.55894347791099	-0.13116902250455	2.2545309772	1.56750002365749	2.72912528015434	0.0511525342894049	4.77064297730679	1.89697922478774	0.156513049947231	-0.35431257381876	0.379656601261441	-2.83921922360676	2.08803446155044	0.824342422522887	2.62884091752837	2.81326995666189	1.68256935344228	2.91335341521887	2.61610189175094	0.105219755559681	-1.0474597543787	-2.83921922360676	2.05112990461499	-2.83921922360676	1.922954711191	0.492985286568444	-2.83921922360676	-2.83921922360676	1.20383204422779	-0.200161893991501	-0.759777681926924	-2.83921922360676	-2.83921922360676	0.989422172882335	-1.45292486248687	-2.83921922360676	-2.83921922360676	0.205303214116663	-2.83921922360676	-2.83921922360676	-0.893309074551447	1.23831822029896	-0.35431257381876	-2.83921922360676	-2.83921922360676	-2.83921922360676	-0.893309074551447	-2.83921922360676	-2.83921922360676	-1.45292486248687	-2.83921922360676	-1.22978131117266	-2.83921922360676	-2.83921922360676	-2.83921922360676	0.594767980878386	-2.83921922360676	-1.0474597543787	-2.83921922360676	-2.83921922360676	-2.83921922360676	-2.83921922360676
Preg.Feces.PD.2107.week0	3.47891721811766	3.11078978044714	5.59453228574977	1.45125194596155	3.85413890965716	2.30508150821197	0.473476130436712	-1.29418578721228	2.18043906300469	3.06800250524193	0.65172436184303	-1.16065439458776	1.45125194596155	2.12588007875426	2.31673212543194	0.610051665442462	-0.295656957101156	1.32425225520024	-0.40688259221138	1.07739217726871	0.748888110296678	3.03654755307405	-3.2400959362676	1.24854043346454	1.45125194596155	1.40429496287378	1.40429496287378	1.41386441388993	0.315252125221817	1.6943779968631	1.21425135998591	-3.2400959362676	2.09744214343372	1.42334315784447	-1.44833646703954	-0.349724178371432	-0.842200663469226	0.691729696456729	2.28933315124383	0.631105074640295	-0.195573498544173	0.887038448777495	-0.755189286479596	0.19389126821755	-0.104601720338447	-0.195573498544173	-0.755189286479596	-3.2400959362676	0.22563996653213	0.767237248964875	0.610051665442462	-1.44833646703954	0.631105074640295	-0.755189286479596	-0.937510843273551	-0.349724178371432	0.0180006017538857	-0.467507214027815	-0.755189286479596	-1.16065439458776	-1.85380157514771	0.19389126821755	-2.14148364759949	-0.755189286479596	-3.2400959362676	-1.29418578721228	-3.2400959362676	-3.2400959362676	-2.14148364759949	-3.2400959362676	-1.6306580238335	-1.85380157514771	-1.85380157514771	-3.2400959362676	-1.85380157514771	-3.2400959362676	-1.44833646703954
Preg.Feces.PD.2107.week3	3.55654161760206	2.35521381765211	5.10393505848524	2.74929360353515	3.98925229978453	2.08868997070767	2.93246297725144	1.79936451251216	4.66942912990184	2.66712820349166	2.20043400914729	-1.61507809590001	0.994991696841992	1.86308032689827	2.24354413280102	0.536684107359447	2.82285617071216	-0.228783734780124	-0.228783734780124	-0.826620735535744	2.22652244523159	3.02159075714745	-3.22451600833412	-0.516465807231905	0.513153609949253	0.667304289776512	0.625631593375944	0.96513873369231	0.241219894465612	1.36045147033646	1.49398286296098	-3.22451600833412	1.61967107812448	1.9402699655894	1.88142946556647	0.726727710247313	-0.585458678718856	0.835927002212304	1.42944434182341	-0.451927286094334	-0.659566650872578	2.56544416256314	0.142779821652359	-0.33414425043795	-0.451927286094334	-0.451927286094334	-0.659566650872578	-0.826620735535744	-0.0890217924049652	-0.391302664277899	-1.61507809590001	-1.43275653910606	0.76446803823016	-0.739609358546115	-3.22451600833412	-3.22451600833412	0.17668137332804	-3.22451600833412	-0.739609358546115	-3.22451600833412	-3.22451600833412	-0.179993570610692	-1.14507446665428	-0.451927286094334	-3.22451600833412	-1.43275653910606	-1.61507809590001	-3.22451600833412	-1.14507446665428	-1.0272914309979	-1.83822164721422	-1.43275653910606	-3.22451600833412	-2.125903719666	-3.22451600833412	-3.22451600833412	-1.83822164721422
Preg.Feces.PD.2107.week6.2	4.39496375125356	2.54091935765267	4.21754059572822	0.968907850737688	4.68794034302231	4.4660336502455	0.688005465271285	5.38651829476739	-2.92291244737294	3.29369365371193	-2.92291244737294	4.67197193984358	0.37292441863139	4.6277487957324	3.38153635504904	2.57014899596761	-0.977002298317626	2.28109423970386	3.51163407141451	2.34494571169039	1.60968704578032	4.69779263946532	-2.92291244737294	2.64924158480483	1.50790435147037	0.814757170910429	-2.92291244737294	2.08772284672332	0.573595114093541	2.46158261541615	3.0809746197336	-2.92291244737294	3.30164598190242	2.79082035813643	0.409292062802265	-2.92291244737294	-2.92291244737294	2.17695398045126	-2.92291244737294	2.55355110455857	1.13753056317348	-2.92291244737294	-2.92291244737294	1.58794705914391	0.838287668320623	-1.31347453493884	-2.92291244737294	-2.92291244737294	1.06607159919134	-2.92291244737294	-2.92291244737294	-2.92291244737294	0.714673712353447	-2.92291244737294	-0.620327354378893	1.7684354348562	1.79558642392216	0.905728949116156	-2.92291244737294	-2.92291244737294	-2.92291244737294	-2.92291244737294	-2.92291244737294	-1.13115297814488	-2.92291244737294	-2.92291244737294	-0.843470905693103	-2.92291244737294	-0.525017174574569	-2.92291244737294	-0.525017174574569	-2.92291244737294	-2.92291244737294	-2.92291244737294	-1.31347453493884	-2.92291244737294	-2.92291244737294
Preg.Feces.PD.2108.week0	3.11435824612481	3.09026069454575	5.77027938179207	1.89144824077912	3.48756249201475	3.2868917965526	0.0233157927664919	0.716462973326437	2.20990197189766	2.28209826310214	0.667672809157005	1.47860302537333	1.28285844824724	1.73238354614943	1.34824120751009	-0.536299995168931	-0.187993300900715	1.66092458216729	0.114287570972219	2.22581742720355	0.50515387965923	3.14421120927449	-3.02120664495693	2.11459179209333	1.58396354103116	1.38551260230732	1.03923636558949	1.67927372083549	0.910618987767395	1.96239997675141	1.32259877689675	-3.02120664495693	2.04138838807004	1.98273966098853	-0.823982067620712	-0.0254743714029401	0.534141416532483	1.19830106021918	2.04138838807004	0.0698358084013847	0.274630221047398	0.739993470736631	-0.187993300900715	1.21289985964033	0.0233157927664919	-1.41176873252283	-1.22944717572888	-3.02120664495693	0.667672809157005	-0.456257287495394	2.10275733444633	-0.24861792271715	0.156847185391015	-3.02120664495693	-0.823982067620712	-0.382149315341672	0.346089185029543	-1.41176873252283	-3.02120664495693	-3.02120664495693	-0.0254743714029401	-0.718621551962885	-3.02120664495693	-0.623311372158561	-3.02120664495693	-3.02120664495693	-3.02120664495693	-1.92259435628882	-3.02120664495693	-3.02120664495693	-1.41176873252283	-3.02120664495693	-1.63491228383704	-3.02120664495693	-3.02120664495693	-3.02120664495693	-3.02120664495693
Preg.Feces.PD.2108.week3	3.96015460980421	2.7092248223905	6.22000456440004	3.8779689348327	4.12395711883093	2.26453900112906	4.26059893386984	3.41827058901825	-1.24201889619092	2.96763651254217	-2.34063118485903	4.20328066070576	-1.24201889619092	2.41295900624733	2.49565072209244	0.878244640009167	3.53990180154167	0.837422645488912	2.41295900624733	-0.548871715630979	1.89347531973823	3.9035357158047	-2.34063118485903	1.02666464512744	2.88511548885417	1.27028672778519	-2.34063118485903	1.37294088184527	0.492582159197182	1.96343390834514	1.61061253372239	-2.34063118485903	1.32293046127061	1.86406143453193	2.5646435935794	-2.34063118485903	0.492582159197182	1.3482482692549	-2.34063118485903	0.367419016243176	0.144275464928966	-2.34063118485903	-2.34063118485903	0.750411268499282	-0.954336823739143	-2.34063118485903	0.0572640879393367	-0.394721035803721	0.144275464928966	-2.34063118485903	-2.34063118485903	-0.954336823739143	0.367419016243176	-2.34063118485903	-2.34063118485903	-2.34063118485903	1.12510471794069	-2.34063118485903	-2.34063118485903	-2.34063118485903	-2.34063118485903	-0.954336823739143	-2.34063118485903	-2.34063118485903	-2.34063118485903	-2.34063118485903	-2.34063118485903	-2.34063118485903	-2.34063118485903	-0.143406607522814	-2.34063118485903	0.0572640879393367	-2.34063118485903	-0.954336823739143	-2.34063118485903	-2.34063118485903	-2.34063118485903
Preg.Feces.PD.2108.week6.2	4.62771481574139	2.73769065383698	5.12913726310881	2.74774098969048	4.95271325381752	4.17964586206242	1.20284159839395	4.49809959318095	-0.653456391971679	4.83134054151898	-0.471134835177724	1.38776393688796	-0.653456391971679	4.05246369711656	3.67859187289596	2.39106604575174	1.0142504285864	1.94179831498519	2.38629276699909	3.15764069486651	-1.34660357253162	4.76972995662223	-1.34660357253162	0.828148148952537	1.36144662857059	0.681544674760662	-0.122828140909508	1.82308200814581	1.54376818536454	1.90377091939595	3.11700304913468	-2.95604148496572	2.72753828237296	1.74443888082669	0.995202233615703	-2.95604148496572	1.24865113442524	1.77134633374662	-2.95604148496572	2.72413112405134	0.995202233615703	-2.95604148496572	-2.95604148496572	1.17109290007937	-0.122828140909508	-2.95604148496572	-2.95604148496572	-2.95604148496572	0.757530581738584	-2.95604148496572	-1.85742919629761	-0.471134835177724	-0.0656697270695595	-2.95604148496572	-0.758816907629505	-0.876599943285888	1.50986663368886	-1.34660357253162	-2.95604148496572	-2.95604148496572	-2.95604148496572	-1.85742919629761	-2.95604148496572	-2.95604148496572	-0.758816907629505	-2.95604148496572	-0.391092127504187	-2.95604148496572	-2.95604148496572	-2.95604148496572	0.41125434502075	-2.95604148496572	-2.95604148496572	-2.95604148496572	-2.95604148496572	-2.95604148496572	-2.95604148496572
Preg.Feces.PD.2114.week0	4.09376870193545	1.52472517294125	6.18185509786005	2.75631314430016	3.32533425744629	3.0565618393518	1.85162795854631	0.790755997861052	2.25066217632419	2.98798057519727	2.29483339463733	2.88056032657643	2.27614126162517	1.64988831589526	1.79220453807551	0.92080912610925	0.92080912610925	0.0404504034611582	-2.79276294059506	0.385290889752888	1.91676726071728	2.59630878922144	1.30158162162704	2.47509521846827	1.9694109942027	2.09003898199131	1.057384661115	1.23258875014009	-0.713321398915222	0.251759497128365	0.944906677688311	-0.227813583133521	0.608434441067098	1.01389954917526	0.151676038571383	0.608434441067098	0.608434441067098	-0.846852791539745	1.99472880218699	-0.846852791539745	-0.595538363258838	-2.79276294059506	0.342731275334092	0.298279512763258	-1.001003471367	-0.713321398915222	-2.79276294059506	-2.79276294059506	-0.0201742183552766	1.49769650055333	0.608434441067098	0.0976088173011068	0.465333597426424	0.202969332958933	-1.40646857947517	-2.79276294059506	-0.227813583133521	-2.79276294059506	-2.79276294059506	-2.79276294059506	0.202969332958933	-2.79276294059506	-2.79276294059506	-0.394867667796687	0.818154972049167	-2.79276294059506	-2.79276294059506	-1.69415065192695	-2.79276294059506	-2.79276294059506	-2.79276294059506	-2.79276294059506	-2.79276294059506	-2.79276294059506	-2.79276294059506	-2.79276294059506	-2.79276294059506
Preg.Feces.PD.2114.week3	3.05545631575784	4.83360011926146	3.23741230866544	2.59939019435589	5.44855541629272	0.30025933622993	0.958315196978605	3.71402113217964	-1.68074213263665	2.37538121676525	1.80049795669904	-0.764451400762498	0.0240059596017721	2.60284442922398	2.44235184287143	1.12261824826988	1.50767448474684	1.57735440538483	0.621842960357393	0.543881418887681	0.570549665969842	4.47940977998948	-3.06703649375654	-1.45759858132244	-0.987594952076708	-0.502087136295007	1.20962962525951	2.94912066594181	0.570549665969842	3.07929276391235	2.68553614506909	0.993406516789876	1.76924541319493	3.13549902343138	1.10735077613909	-0.176664735860379	-3.06703649375654	1.68655369734982	-0.294447771516763	1.4547520832925	-0.0225140560331208	-3.06703649375654	0.26516801641866	2.44639225240844	0.26516801641866	-0.358986292654334	-3.06703649375654	-3.06703649375654	0.398699409043183	-0.427979164141285	-0.669141220958173	-3.06703649375654	1.77715059270205	-1.96842420508843	0.366950710728603	-0.987594952076708	1.26369684652979	-3.06703649375654	0.0240059596017721	-3.06703649375654	-0.669141220958173	-0.0225140560331208	-3.06703649375654	-1.96842420508843	-3.06703649375654	-3.06703649375654	-1.45759858132244	-3.06703649375654	-3.06703649375654	-1.68074213263665	-0.358986292654334	-3.06703649375654	-0.987594952076708	-1.68074213263665	-3.06703649375654	-3.06703649375654	-3.06703649375654
Preg.Feces.PD.2114.week6.2	4.6655384367718	2.94091827038137	5.54432919639074	3.11618033546237	4.48806621403928	3.6485701371442	-0.0165927903524217	4.24960202879634	-2.7891815125922	3.7831010301018	-2.7891815125922	3.12161513144832	0.578114317394271	4.36151994500032	3.99301054341459	3.09414087589608	1.33795287245289	1.73260706445684	3.14835469249022	2.91126206079848	2.48381804597154	4.50926358891594	1.76469537900834	1.54155182769413	0.794337425863907	0.578114317394271	-2.7891815125922	1.65346974389811	1.38520575730343	2.138072172565	2.51412339546687	1.83579130069207	2.28599230264162	1.38520575730343	0.543022997583001	-2.7891815125922	-2.7891815125922	2.00660903300454	-2.7891815125922	2.19442510911613	0.737179012023959	-2.7891815125922	-2.7891815125922	1.35395321379933	-0.709739970912367	-2.7891815125922	-2.7891815125922	-2.7891815125922	1.14264412013212	-2.7891815125922	-2.7891815125922	-2.7891815125922	0.346312703336947	-2.7891815125922	-0.709739970912367	-0.591956935255983	0.388872317755743	0.388872317755743	-2.7891815125922	-2.7891815125922	-2.7891815125922	-2.7891815125922	-2.7891815125922	-2.7891815125922	-0.709739970912367	-2.7891815125922	-2.7891815125922	-2.7891815125922	-2.7891815125922	-2.7891815125922	-0.0811313114899928	-2.7891815125922	-2.7891815125922	-2.7891815125922	-1.40288715147231	-2.7891815125922	-2.7891815125922
