feature	ASV1	ASV2	ASV3	ASV4	ASV10	ASV11	ASV13	ASV15	ASV17	ASV18	ASV27	ASV28	ASV33	ASV36	ASV53	ASV62	ASV63	ASV67	ASV68	ASV73	ASV74	ASV76	ASV81	ASV82	ASV86	ASV87	ASV88	ASV90	ASV93	ASV99	ASV100	ASV105	ASV107	ASV108	ASV117	ASV121	ASV126	ASV129	ASV137	ASV138	ASV139	ASV147	ASV148	ASV161	ASV169	ASV182	ASV188	ASV190	ASV205	ASV215	ASV226	ASV228	ASV233	ASV234	ASV238	ASV240	ASV245	ASV261	ASV262	ASV263	ASV275	ASV301	ASV348	ASV362	ASV365	ASV369	ASV399	ASV404	ASV412	ASV414	ASV419	ASV439	ASV449	ASV493	ASV498	ASV504	ASV530
Preg.Feces.PD.2115.week3	777	248	2050	829	1074	95	511	79	465	252	140	2	85	150	239	21	289	21	17	9	86	581	0	15	61	38	100	60	0	51	85	35	63	122	49	24	4	38	45	15	6	569	20	21	8	10	2	0	19	52	20	2	28	9	6	0	10	0	20	0	3	8	0	8	0	5	0	2	0	2	0	0	0	0	4	3	0
Preg.Feces.PD.2115.week6.2	1194	427	5113	200	1786	336	24	844	0	801	169	65	129	517	712	142	52	119	44	40	108	1124	45	25	99	32	19	118	25	156	109	57	264	311	48	0	84	12	0	39	50	16	0	102	16	22	5	0	62	0	0	9	20	0	0	24	52	11	0	15	5	8	0	2	0	0	5	0	5	0	23	0	3	0	0	0	0
Preg.Feces.PD.2121.week0	859	346	4773	125	1004	175	28	28	176	317	136	84	81	105	181	24	17	64	9	13	94	487	17	48	123	82	61	136	97	138	80	0	107	187	15	42	15	31	55	17	34	0	14	35	30	20	0	29	20	39	96	7	19	8	22	11	9	21	5	11	0	2	0	6	3	0	0	3	0	0	0	0	0	0	0	0	0
Preg.Feces.PD.2121.week3	1066	314	5847	1104	1242	113	1149	39	2595	261	313	0	101	91	154	49	359	21	17	18	64	683	13	20	94	62	81	91	18	32	54	0	62	148	221	96	69	40	62	7	15	0	78	42	10	11	40	5	16	8	49	28	19	12	0	0	34	0	11	12	2	3	4	14	0	5	0	2	9	8	2	12	0	0	0	6	0
Preg.Feces.PD.2121.week6.2	1220	377	6552	29	1386	895	14	178	810	787	279	426	260	80	329	117	6	42	17	39	72	645	8	163	224	53	64	84	9	78	149	0	197	126	18	30	121	16	96	18	18	728	0	84	20	13	12	18	31	145	0	15	29	10	3	6	34	8	7	0	0	0	0	0	0	5	0	4	5	0	0	0	2	0	0	0	0
Preg.Feces.PD.2152.week0	2252	1311	9032	416	2450	1021	182	70	21	990	237	56	354	662	350	61	101	227	55	238	358	1346	157	118	90	187	212	333	39	184	214	10	431	369	27	73	80	90	344	70	56	3	41	111	25	11	10	8	53	42	0	18	67	31	11	25	56	10	21	9	4	11	8	10	0	18	5	5	0	2	8	0	0	5	0	0	0
Preg.Feces.PD.2152.week3	1457	150	4547	547	863	96	611	88	4177	319	232	7	40	138	155	74	298	23	12	10	102	470	0	17	26	108	39	100	10	57	71	20	99	102	292	117	9	19	67	5	14	0	41	47	14	9	73	169	27	44	0	5	26	14	18	0	13	0	12	0	0	25	7	24	0	0	0	3	3	0	0	6	0	0	3	8	0
Preg.Feces.PD.2152.week6.2	1740	586	5764	359	3024	173	284	4147	938	491	176	134	133	775	351	1395	45	121	300	817	3	2088	0	54	280	65	0	149	27	188	222	47	235	216	32	0	47	82	0	94	15	0	0	103	10	21	0	0	39	0	0	0	54	0	15	2	50	8	0	0	0	6	0	0	0	0	5	0	0	0	5	0	5	0	0	0	0
Preg.Feces.PD.2169.week0	1170	60	18475	845	456	499	35	72	26	412	317	114	236	49	65	81	200	11	0	9	113	177	59	83	321	327	22	95	17	49	34	0	49	45	35	47	38	20	77	0	18	0	0	41	15	8	19	37	21	46	0	19	28	41	4	0	0	0	9	0	6	0	4	6	0	0	0	13	12	0	0	0	0	0	0	0	0
Preg.Feces.PD.2169.week3	1456	334	2480	4614	2981	160	192	268	0	394	359	8	124	926	255	26	1062	107	43	51	62	1601	0	0	11	39	248	188	107	160	182	415	95	404	189	84	0	135	14	39	30	0	49	114	31	11	4	0	107	42	0	0	89	0	12	3	65	31	26	63	0	22	15	0	0	4	8	0	6	0	5	4	3	0	0	4	0
