feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV226	timepoint	w3	-1.3349495584188	0.320544008594822	86	14	0.00011003680884314	0.000438250049013194
ASV2	timepoint	w6	0.799824674425836	0.192626204917871	86	86	0.000114780753510536	0.000449395831541253
ASV105	timepoint	w6	1.78748223233021	0.435694015097547	86	27	0.000136078885555314	0.000515315123988158
ASV261	timepoint	w3	-1.01879224951509	0.254355131276924	86	11	0.000135425738210487	0.000515315123988158
ASV126	timepoint	w3	-1.33660931045073	0.340358770047287	86	41	0.000178349417178505	0.000664495409165075
ASV28	timepoint	w3	-1.68840573852602	0.434513706336564	86	61	0.000205964843225527	0.000755204425160265
ASV36	timepoint	w3	0.933542343564897	0.236910054071816	86	85	0.000227838850609859	0.00082235585141996
ASV88	timepoint	w6	-1.38644411524602	0.352785932879097	86	63	0.000239815054345326	0.000852265808519543
ASV68	timepoint	w3	1.13678443553491	0.29094335741984	86	43	0.000254102884628857	0.000889360096201001
ASV105	timepoint	w3	1.71374237135429	0.440625622163462	86	27	0.000271590172609618	0.000936378057803308
ASV126	genotype	KO	1.03612518662416	0.277360488480291	86	41	0.000344778027028401	0.00115990679578464
ASV137	timepoint	w3	-1.4489832283736	0.380163820983513	86	62	0.000346465666273334	0.00115990679578464
ASV82	timepoint	w6	-0.76894794444868	0.204506310744833	86	59	0.00041122404280604	0.00135703934125993
ASV504	timepoint	w3	0.63880268879924	0.175691432554901	86	0	0.000482257642839943	0.0015690354295215
ASV53	timepoint	w6	0.616955275524433	0.16770443988266	86	85	0.000531060564658923	0.00170381931161404
ASV82	genotype	KO	0.655384153231057	0.170207838437993	86	59	0.00064998664337009	0.00205680704956837
ASV301	timepoint	w3	0.982297735224083	0.272988269291302	86	7	0.000682047844656476	0.00212909529886008
ASV262	timepoint	w6	-0.942522272518653	0.263903299845124	86	9	0.000748624139866225	0.00230576235078797
ASV215	timepoint	w6	-1.20137259445766	0.34094662328721	86	14	0.000863018247222682	0.00262312125142684
ASV205	timepoint	w3	0.550166843140586	0.158116180225451	86	69	0.000987253437015201	0.0029617603110456
ASV190	timepoint	w6	-1.38209172320028	0.417131047147831	86	18	0.00137358334675619	0.00406791991154718
ASV412	timepoint	w3	0.793453907482559	0.237894273681677	86	2	0.00151938788752044	0.00444276711414204
ASV233	timepoint	w3	0.613376368723383	0.187014487498496	86	67	0.00179687124626197	0.00518846572358144
ASV188	genotype	KO	1.16571586830759	0.361042827404858	86	17	0.00325148488044485	0.00927275317756494
ASV1	timepoint	w6	0.374716069052188	0.123893205661482	86	86	0.00332457116256115	0.00936556022623935
ASV362	genotype	KO	0.579615751238749	0.192468599603993	86	3	0.00345551499510242	0.00961715619118866
ASV449	timepoint	w6	0.628048976817883	0.206294743889249	86	0	0.00356154703763792	0.00979425435350429
ASV17	genotype	KO	1.66833958752694	0.526205417107228	86	45	0.00373636498605995	0.0101456267429155
ASV190	timepoint	w3	-1.25480182367114	0.420886643595188	86	18	0.00377715973978674	0.0101456267429155
ASV261	timepoint	w6	0.749504981229506	0.252085505376631	86	11	0.00386830889494516	0.0102710270658889
ASV86	genotype	KO	0.671031161254005	0.213539327925282	86	75	0.00402586896132804	0.0105679060234861
ASV74	timepoint	w6	-0.785100198715723	0.270443454351935	86	73	0.00474644548211148	0.0123194259142444
ASV240	timepoint	w6	0.853988127067746	0.3005760335497	86	7	0.0056684682779119	0.0145490685799739
ASV33	timepoint	w6	-0.682385743312446	0.244075187090112	86	77	0.00710238163919604	0.0178331538984162
ASV138	timepoint	w3	0.788478320097865	0.281900833379648	86	48	0.00705664926539383	0.0178331538984162
ASV493	timepoint	w3	0.43141372692229	0.158299418343573	86	0	0.00785157112023005	0.0195022895567005
ASV369	timepoint	w6	-0.591722505819612	0.215822151958218	86	0	0.00836998232045165	0.0205687863406844
ASV449	genotype	KO	-0.52621825260949	0.195651917799314	86	0	0.0120462703141688	0.0292914572902421
ASV17	timepoint	w3	-1.4967399051736	0.581704941165406	86	45	0.012757045946977	0.0306966418099134
ASV161	timepoint	w3	0.354422994085629	0.138661366004132	86	77	0.0133365504797138	0.0317602387712771
ASV18	timepoint	w3	-0.424405596039558	0.166562976824351	86	86	0.0136010151400216	0.0320595356871938
ASV365	timepoint	w6	-0.663683847443206	0.263655248386087	86	5	0.0147864423791718	0.0345016988847342
ASV90	timepoint	w6	0.281682205117399	0.113687329573079	86	86	0.0163169700879432	0.0376922009031488
ASV117	timepoint	w6	0.446054085278628	0.180887874543339	86	61	0.01681350193314	0.0380776367309346
ASV362	timepoint	w3	-0.576773760349824	0.236184959843672	86	3	0.0167545806616064	0.0380776367309346
ASV76	genotype	KO	-0.30362426068919	0.12225445827873	86	86	0.0194279777575633	0.0435714840970595
ASV147	genotype	KO	1.34064179928668	0.544346383486391	86	23	0.0203615981337123	0.045226242008534
ASV233	genotype	KO	-0.443482543355577	0.183933736196731	86	67	0.0230094930411606	0.0506208846905532
ASV18	genotype	KO	-0.335203376954484	0.139394750093253	86	86	0.0232353272060273	0.0506354772131349
ASV188	timepoint	w6	-0.766709493997318	0.333606281800952	86	17	0.0253655191688324	0.0547610740934606
ASV234	genotype	KO	0.579533200601483	0.24952772363437	86	18	0.0279006324538586	0.0596763527485309
ASV126	timepoint	w6	-0.750779837072	0.337321728584774	86	41	0.0287784943502283	0.0609892861917682
ASV10	genotype	KO	-0.258607852502169	0.114468280473896	86	86	0.0320448564598652	0.0650980462399016
ASV13	timepoint	w6	-0.636816143886304	0.288673485895496	86	74	0.0315517472757713	0.0650980462399016
ASV36	genotype	KO	-0.468934673185212	0.207220131956715	86	85	0.0318019556268267	0.0650980462399016
ASV53	timepoint	w3	0.37199466177836	0.169275073837035	86	85	0.0321263085339774	0.0650980462399016
ASV419	timepoint	w3	0.604237281527371	0.273631452056634	86	9	0.0313508435118799	0.0650980462399016
ASV412	genotype	KO	-0.483541336009385	0.214614936052255	86	2	0.0325557557572996	0.0653946050429235
ASV90	genotype	KO	-0.23068067474873	0.102682992399643	86	86	0.0330585497829892	0.0658321120678493
ASV169	genotype	KO	-0.278687690369529	0.13018221591342	86	33	0.0352639715806423	0.069623738761781
ASV93	genotype	KO	-0.412178164287624	0.188148769279509	86	59	0.0372443827901761	0.0729106137672091
ASV11	genotype	KO	0.38112920621077	0.178761858822933	86	85	0.0421496006341106	0.080521476081328
ASV86	timepoint	w6	-0.50784276372484	0.243425170368351	86	75	0.0415829974840799	0.080521476081328
ASV233	timepoint	w6	0.385168146225092	0.185157119843278	86	67	0.0421779160426004	0.080521476081328
ASV275	genotype	KO	-0.574919107967361	0.273706474329751	86	12	0.0450552075105273	0.0853094502863264
ASV169	timepoint	w6	0.309187110725809	0.158325687784588	86	33	0.0542482386071967	0.101880838359857
ASV100	genotype	KO	-0.229296773053545	0.117802163843147	86	86	0.0550245102504004	0.102505337643891
ASV228	genotype	KO	0.480833070680478	0.242240472774121	86	19	0.0572992727571921	0.105889056055291
ASV121	genotype	KO	0.886199980954497	0.456941032745161	86	41	0.063029309579195	0.115553734228524
ASV399	genotype	KO	-0.410848730060761	0.213391504965724	86	1	0.0647736765934232	0.117816687347093
ASV13	genotype	KO	0.571784927908546	0.304136560643412	86	74	0.0708236432468891	0.12781454367212
ASV68	genotype	KO	-0.537906724210168	0.28707184912331	86	43	0.0716905667968201	0.128376131240817
ASV419	genotype	KO	-0.536480867889312	0.291660308795762	86	9	0.0767577612896086	0.136392637368458
ASV129	genotype	KO	-0.468177335246567	0.256795595368777	86	57	0.0792736312468942	0.139787853572768
ASV105	genotype	KO	-1.05628094655195	0.58918144947482	86	27	0.0842146467340366	0.147375631784564
ASV121	timepoint	w6	-0.730102741381504	0.420474029289518	86	41	0.088104833027569	0.153024183679462
ASV404	genotype	KO	0.285629239896641	0.168684812972811	86	0	0.0941996600687731	0.16238896623796
ASV15	genotype	KO	-0.484500402618116	0.280182713128429	86	78	0.095114072819448	0.162750746824389
ASV190	genotype	KO	0.576036076545943	0.342983155821643	86	18	0.0968635561179223	0.164525598994412
ASV3	genotype	KO	0.284443828588445	0.166091804886438	86	86	0.0981685975658614	0.165525153559956
