feature	ASV1	ASV2	ASV3	ASV4	ASV10	ASV11	ASV13	ASV15	ASV17	ASV18	ASV27	ASV28	ASV33	ASV36	ASV53	ASV62	ASV63	ASV67	ASV68	ASV73	ASV74	ASV76	ASV81	ASV82	ASV86	ASV87	ASV88	ASV90	ASV93	ASV99	ASV100	ASV105	ASV107	ASV108	ASV117	ASV121	ASV126	ASV129	ASV137	ASV138	ASV139	ASV147	ASV148	ASV161	ASV169	ASV182	ASV188	ASV190	ASV205	ASV215	ASV226	ASV228	ASV233	ASV234	ASV238	ASV240	ASV245	ASV261	ASV262	ASV263	ASV275	ASV301	ASV348	ASV362	ASV365	ASV369	ASV399	ASV404	ASV412	ASV414	ASV419	ASV439	ASV449	ASV493	ASV498	ASV504
Preg.Feces.PD.2104.week0	3.298323790532	1.95005682500135	5.76662038575439	3.07808299887576	3.71022807092119	3.33261286401064	1.31489690209176	0.384421535225646	2.12739084028427	2.68700662821969	1.75269739084286	2.0561633309959	1.54085339478258	1.56307653156729	1.50656432130395	-0.462876325161557	1.51812514370503	0.607565086539856	-0.750558397613338	-1.00187282589424	0.548724586516923	2.84827477581581	-2.94778297494956	1.63718450372101	1.31489690209176	1.00346074363187	0.715778671180089	1.14656158727254	-0.750558397613338	1.27172473022655	1.02250893860256	-2.94778297494956	1.48303382389376	1.65738721103853	-0.645197881955512	-0.00334399578311704	1.17935141009553	0.348053891054772	2.8543354004275	-0.549887702151187	-0.239732773847347	0.0967394627738654	0.486204229535589	-0.239732773847347	-0.175194252709776	-2.94778297494956	-0.868341433269722	-1.1560235057215	0.143259478408758	0.715778671180089	0.964240030478589	-0.462876325161557	0.880858421539538	-0.549887702151187	-0.868341433269722	-2.94778297494956	-0.0574112170533928	-0.549887702151187	-1.33834506251546	-2.94778297494956	-0.00334399578311704	-2.94778297494956	-1.00187282589424	-0.382833617488021	-2.94778297494956	-1.33834506251546	-1.56148861382967	-2.94778297494956	-1.33834506251546	-2.94778297494956	-2.94778297494956	-2.94778297494956	-2.94778297494956	-2.94778297494956	-2.94778297494956	-2.94778297494956
Preg.Feces.PD.2104.week3	4.7927958000209	3.28663289675361	5.81444704755289	4.92973572883205	4.56849417098607	1.73005281618395	4.20584212142268	3.04982649496228	-2.88506770065731	3.2396156902369	2.40823712406719	-1.09330823142925	0.899121933260955	3.1833578875868	3.57952060303265	0.965079901052752	4.36981710942003	0.250426515271843	0.986133310250584	0.250426515271843	2.53103270154711	4.70376217765051	-2.88506770065731	-1.49877333953742	0.828504366047001	1.28931956923833	0.00530405723885824	2.056574721952	-0.400161050869306	1.76889264950022	2.4379422784811	-2.88506770065731	2.19010611457652	2.49942736213178	3.33153840042756	-2.88506770065731	-0.582482607663261	0.516129681004849	-1.09330823142925	0.58066820214242	-0.246010371042048	-2.88506770065731	-0.400161050869306	0.110664572896685	-0.246010371042048	-0.582482607663261	-2.88506770065731	-2.88506770065731	0.333808124210894	-2.88506770065731	-2.88506770065731	-0.0518543566010904	1.04675793206702	-1.7864554119892	-1.27562978822321	-2.88506770065731	1.36342754139205	-2.88506770065731	-2.88506770065731	0.447136809517897	-2.88506770065731	1.12226548457516	-1.49877333953742	-2.88506770065731	-2.88506770065731	-2.88506770065731	-1.27562978822321	-2.88506770065731	-1.49877333953742	-2.88506770065731	-1.7864554119892	-2.88506770065731	-2.88506770065731	-2.88506770065731	-2.88506770065731	-2.88506770065731
Preg.Feces.PD.2104.week6.2	5.2523842432244	2.1975630533004	5.26931658138715	2.9740918427994	4.16801431127183	2.98073638551806	0.489185193011395	2.22613642574446	-2.72969063185681	4.45721038855483	2.22613642574446	2.37625484204378	2.40020808306627	2.30074728953563	2.91575626578643	1.77011903847346	1.50441587274045	0.602513878318398	2.40020808306627	2.46880639940902	0.314831805866617	3.96115164556176	-2.72969063185681	1.05449900206146	1.99769718685553	-0.42710553886276	0.959188822257131	1.70112616698651	0.796669892759356	1.57437446134736	1.75894573787533	-2.72969063185681	2.18296425387925	2.05780111092524	0.36135182150151	-2.72969063185681	-0.164741274395269	0.881227280787419	0.528405906164676	0.90789552786958	0.736045270942921	0.36135182150151	-2.72969063185681	0.602513878318398	-0.090633302241547	0.10352271219941	-2.72969063185681	-0.783780482801492	0.44836319849114	-2.72969063185681	-2.72969063185681	-1.34339627073692	-0.164741274395269	-2.72969063185681	-0.93793116262875	-2.72969063185681	1.00797898642656	0.160681126039359	-2.72969063185681	-2.72969063185681	-2.72969063185681	-2.72969063185681	-2.72969063185681	-2.72969063185681	-2.72969063185681	-1.6310783431887	-1.6310783431887	-2.72969063185681	-2.72969063185681	-2.72969063185681	-2.72969063185681	-2.72969063185681	-1.12025271942271	-1.6310783431887	-2.72969063185681	-2.72969063185681
Preg.Feces.PD.2106.week0	3.20368257729774	3.12980767821348	4.97837808988772	1.18877955675547	4.03856603453656	2.83174016122822	-0.153063041793584	2.62494574791554	1.46503293338363	2.70290728938525	1.08089059474429	0.540084138766361	1.24404223543052	1.92637849988625	1.97930090134059	-0.0304607197012516	-0.069681432854533	1.44764119067176	0.375004388406913	1.2757909337451	0.643268375001592	3.79315132838284	-1.90226289660284	1.18877955675547	0.805787304499367	1.0421760825636	1.13028335007386	2.05855027299474	0.294961680733376	1.91544942935406	1.4209729435896	-1.90226289660284	2.24087182978869	2.47663384506211	-3.28855725772273	-0.649499928107475	0.0436472524524704	0.540084138766361	1.46503293338363	1.49893448505931	0.207950303743747	-0.0304607197012516	-0.292824984168743	0.662686460858694	0.294961680733376	-0.723607900261197	-3.28855725772273	-3.28855725772273	0.854577468668799	-0.292824984168743	1.57897719273285	-1.2091157160429	0.754494010111816	-3.28855725772273	-0.455343913666518	-0.515968535482952	1.06815156896686	-0.580507056620524	-0.723607900261197	-3.28855725772273	-0.398185499826569	-0.398185499826569	-3.28855725772273	-1.34264710866742	-3.28855725772273	-1.67911934528863	-1.09133268038651	-3.28855725772273	-2.18994496905462	-3.28855725772273	-1.34264710866742	-3.28855725772273	-3.28855725772273	-3.28855725772273	-3.28855725772273	-3.28855725772273
Preg.Feces.PD.2106.week3	3.40080554162266	4.53393647547569	3.29160624965766	3.4365572325865	5.48669178874513	0.993285555450076	1.88807008210327	2.17357587513245	-1.47056768514009	2.20573298676698	2.09896501134128	0.278632169669167	0.321191784087963	3.72930960859469	2.6320756798967	-0.458966773461612	2.62793488723067	1.30202103709969	1.82526918086424	-1.06510257703193	1.28627268013155	4.77165558031507	-2.85686204625998	-2.85686204625998	-2.85686204625998	-2.85686204625998	1.37724445833728	1.76811076702429	0.669498478356179	1.89672814484638	2.15377324783627	1.77786694196965	1.93062969652206	3.12958995902445	1.62047476821822	-2.85686204625998	-2.85686204625998	1.39163319578938	1.01433896464791	1.4869433755937	-0.148811845157773	-2.85686204625998	0.234180407098333	1.58578921023033	0.608873856539744	-0.554276953265937	-2.85686204625998	-2.85686204625998	1.16848964447517	-2.85686204625998	-2.85686204625998	-2.85686204625998	1.13212200030429	-2.85686204625998	-0.371955396471983	-0.554276953265937	1.01433896464791	-0.371955396471983	1.05516095916816	-2.85686204625998	0.278632169669167	1.54985720100427	-2.85686204625998	-2.85686204625998	-2.85686204625998	-2.85686204625998	-0.659637468923764	-2.85686204625998	-2.85686204625998	-1.06510257703193	-0.371955396471983	-2.85686204625998	-1.47056768514009	-2.85686204625998	-2.85686204625998	-2.85686204625998
Preg.Feces.PD.2106.week6.2	4.3944311669952	2.40153728794472	4.50741208669271	1.28230571207388	5.17699179784874	3.27402539716048	0.119154902268195	5.44824392748299	-1.49028301016591	3.37917267046757	-0.391670721497796	3.16842794275022	0.0137943866103683	4.61451022224908	3.60346719064086	2.52158533023196	-0.168527170183586	2.21717282952097	1.53014187597846	2.6917671324753	0.0137943866103683	4.73328482962776	1.8596210771087	0.119154902268195	-0.391670721497796	0.342298453582404	-2.8765773712858	2.05067631387141	0.78698427484385	2.59148276984934	2.77591180898285	1.64521120576324	2.87599526753984	2.5787437440719	0.067861607880644	-1.08481790205774	-2.8765773712858	2.01377175693596	-2.8765773712858	1.88559656351196	0.455627138889408	-2.8765773712858	-2.8765773712858	1.16647389654875	-0.237520041670538	-0.79713582960596	-2.8765773712858	-2.8765773712858	0.952064025203299	-1.49028301016591	-2.8765773712858	-2.8765773712858	0.167945066437627	-2.8765773712858	-2.8765773712858	-0.930667222230483	1.20096007261992	-0.391670721497796	-2.8765773712858	-2.8765773712858	-2.8765773712858	-0.930667222230483	-2.8765773712858	-2.8765773712858	-1.49028301016591	-2.8765773712858	-1.2671394588517	-2.8765773712858	-2.8765773712858	-2.8765773712858	0.55740983319935	-2.8765773712858	-1.08481790205774	-2.8765773712858	-2.8765773712858	-2.8765773712858
Preg.Feces.PD.2114.week0	4.05702182113815	1.48797829214395	6.14510821706275	2.71956626350286	3.28858737664899	3.0198149585545	1.81488107774901	0.754009117063749	2.21391529552689	2.95123369439997	2.25808651384002	2.84381344577913	2.23939438082787	1.61314143509796	1.75545765727821	0.884062245311947	0.884062245311947	0.00370352266385484	-2.82950982139236	0.348544008955584	1.88002037991997	2.55956190842414	1.26483474082974	2.43834833767097	1.93266411340539	2.05329210119401	1.0206377803177	1.19584186934279	-0.750068279712525	0.215012616331062	0.908159796891007	-0.264560463930825	0.571687560269794	0.977152668377958	0.114929157774079	0.571687560269794	0.571687560269794	-0.883599672337048	1.95798192138968	-0.883599672337048	-0.632285244056142	-2.82950982139236	0.305984394536788	0.261532631965954	-1.03775035216431	-0.750068279712525	-2.82950982139236	-2.82950982139236	-0.05692109915258	1.46094961975603	0.571687560269794	0.0608619365038034	0.428586716629121	0.16622245216163	-1.44321546027247	-2.82950982139236	-0.264560463930825	-2.82950982139236	-2.82950982139236	-2.82950982139236	0.16622245216163	-2.82950982139236	-2.82950982139236	-0.431614548593991	0.781408091251863	-2.82950982139236	-2.82950982139236	-1.73089753272425	-2.82950982139236	-2.82950982139236	-2.82950982139236	-2.82950982139236	-2.82950982139236	-2.82950982139236	-2.82950982139236	-2.82950982139236
Preg.Feces.PD.2114.week3	3.01510057241894	4.79324437592256	3.19705656532654	2.55903445101699	5.40819967295382	0.259903592891028	0.917959453639703	3.67366538884073	-1.72109787597556	2.33502547342635	1.76014221336014	-0.8048071441014	-0.0163497837371298	2.56248868588507	2.40199609953253	1.08226250493098	1.46731874140794	1.53699866204593	0.581487217018491	0.503525675548779	0.53019392263094	4.43905403665058	-3.10739223709545	-1.49795432466135	-1.02795069541561	-0.542442879633909	1.16927388192061	2.90876492260291	0.53019392263094	3.03893702057345	2.64518040173019	0.953050773450974	1.72888966985603	3.09514328009248	1.06699503280019	-0.217020479199281	-3.10739223709545	1.64619795401092	-0.334803514855664	1.41439633995359	-0.0628697993720227	-3.10739223709545	0.224812273079758	2.40603650906954	0.224812273079758	-0.399342035993236	-3.10739223709545	-3.10739223709545	0.358343665704281	-0.468334907480187	-0.709496964297075	-3.10739223709545	1.73679484936315	-2.00877994842734	0.326594967389701	-1.02795069541561	1.22334110319089	-3.10739223709545	-0.0163497837371298	-3.10739223709545	-0.709496964297075	-0.0628697993720227	-3.10739223709545	-2.00877994842734	-3.10739223709545	-3.10739223709545	-1.49795432466135	-3.10739223709545	-3.10739223709545	-1.72109787597556	-0.399342035993236	-3.10739223709545	-1.02795069541561	-1.72109787597556	-3.10739223709545	-3.10739223709545
Preg.Feces.PD.2114.week6.2	4.62883868002716	2.90421851363674	5.5076294396461	3.07948057871773	4.45136645729465	3.61187038039956	-0.0532925470970558	4.2129022720517	-2.82588126933684	3.74640127335717	-2.82588126933684	3.08491537470369	0.541414560649637	4.32482018825569	3.95631078666995	3.05744111915144	1.30125311570825	1.6959073077122	3.11165493574559	2.87456230405385	2.44711828922691	4.47256383217131	1.7279956222637	1.50485207094949	0.757637669119273	0.541414560649637	-2.82588126933684	1.61676998715348	1.3485060005588	2.10137241582037	2.47742363872224	1.79909154394743	2.24929254589699	1.3485060005588	0.506323240838367	-2.82588126933684	-2.82588126933684	1.9699092762599	-2.82588126933684	2.1577253523715	0.700479255279324	-2.82588126933684	-2.82588126933684	1.3172534570547	-0.746439727657001	-2.82588126933684	-2.82588126933684	-2.82588126933684	1.10594436338749	-2.82588126933684	-2.82588126933684	-2.82588126933684	0.309612946592313	-2.82588126933684	-0.746439727657001	-0.628656692000618	0.352172561011109	0.352172561011109	-2.82588126933684	-2.82588126933684	-2.82588126933684	-2.82588126933684	-2.82588126933684	-2.82588126933684	-0.746439727657001	-2.82588126933684	-2.82588126933684	-2.82588126933684	-2.82588126933684	-2.82588126933684	-0.117831068234627	-2.82588126933684	-2.82588126933684	-2.82588126933684	-1.43958690821695	-2.82588126933684
Preg.Feces.PD.2169.week0	4.16928555961593	1.21454606019153	6.92790006756871	3.84419155562444	3.22835558691242	3.31828029444041	0.687191134474324	1.3941316371666	0.399509062022543	3.12711978897925	2.86572357879839	1.84860432438146	2.57173233715335	1.01569520144636	1.29332693804464	1.51039144328247	2.40697710407729	-0.411421154193786	-2.89632780398179	-0.59374271098774	1.83987064441271	2.2854557463103	1.19801675824031	1.53448899486153	2.87822374156262	2.89668580440236	0.239166411947364	1.66802038748605	-0.00595604608562143	1.01569520144636	0.659020257507628	-2.89632780398179	1.01569520144636	0.932313592507309	0.687191134474324	0.974873206926105	0.76723384214786	0.148194633741637	1.46038102270781	-2.89632780398179	0.0481111751846543	-2.89632780398179	-2.89632780398179	0.841341814301582	-0.123739081742005	-0.699103226645567	0.0994044695722049	0.7412583557446	0.19471464937653	0.953819797728272	-2.89632780398179	0.0994044695722049	0.470968026004688	0.841341814301582	-1.28688989154769	-2.89632780398179	-2.89632780398179	-2.89632780398179	-0.59374271098774	-2.89632780398179	-0.950417654926473	-2.89632780398179	-1.28688989154769	-0.950417654926473	-2.89632780398179	-2.89632780398179	-2.89632780398179	-0.257270474366528	-0.331378446520249	-2.89632780398179	-2.89632780398179	-2.89632780398179	-2.89632780398179	-2.89632780398179	-2.89632780398179	-2.89632780398179
